Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Дом корпусной мебели,,Мебель на заказ; Корпусная мебель; Офисная мебель; Детская мебель; Мебель для кухни,"улица Ленина, 89/15",701 офис; 7 этаж,633010,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-15:00 (по предварительной записи: сб ),+07:00,,,89139266116,89529453801,,,,,,,,,https://wa.me/79139266116,,,,,,https://t.me/+79139266116,,,,54.757496,83.114474,https://2gis.com/firm/70000001063704712,branch
Дом кухни,мебельная компания,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель; Мебель для ванных комнат; Детская мебель,"улица Немировича-Данченко, 167",1 этаж,630087,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,4.6,80,89014597724,89137336550,,,,,,,,https://vk.com/dom_kuhni_54,,,,,,,,,,,54.989165,82.912987,https://2gis.com/firm/70000001043667010,branch
Дом Лепрекона,столярная мастерская,Мебель на заказ; Металлообработка; Ремонт мебели; Сварочные работы; Деревообработка; Печать на сувенирах; Объёмные надписи и фигуры,"1-й Памирский микрорайон, 27",,630088,1-й Памирский м-н,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+07:00,5.0,1,89139304338,,,,,,,,,https://vk.com/d.leprekona,https://wa.me/79139304338,,,,,,https://t.me/+79139304338,,,,54.940425,82.863524,https://2gis.com/firm/70000001026787832,branch
Дом-фасадов,"компания по изготовлению мебельных фасадов, крашенных МДФ фасадов и ПВХ в пленке","Мебель на заказ; Мебельные фасады; ЛДСП, ДВПО, МДФ; Мебель для кухни; Облицовочные материалы для мебели; Фрезеровка неметаллов","улица Петухова, 69/3 к4",8 бокс,630088,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительному звонку),+07:00,5.0,10,89939962039,,,,,,,,,,https://wa.me/79939962039,,,,,,,,,,54.945669,82.912298,https://2gis.com/firm/70000001061605479,branch
Домашний комфорт,,Мебель на заказ; Корпусная мебель,"Станционная улица, 38 к30",,630108,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительному звонку),+07:00,5.0,4,89137432664,,,,,,,,,,,,,,,,,,,,54.998773,82.843703,https://2gis.com/firm/70000001100981563,branch
ДомВектор,компания,Мебель на заказ; Мебель для кухни; Корпусная мебель; Офисная мебель; Мебель для ванных комнат; Детская мебель,"Вознесенская улица, 2",,630559,3-й м-н,,,рп. Кольцово городской округ,Новосибирская область,Россия,"Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи: сб, вс)",+07:00,5.0,6,89137826311,89952728205,,,,,,,,https://vk.com/clubdomvector,https://wa.me/79137826311,,,,,,https://t.me/+79537664227,,,,54.937909,83.189041,https://2gis.com/firm/70000001112663339,branch
Домокон,торгово-монтажная компания,Мебель на заказ; Окна; Мебель для кухни; Остекление и отделка балконов; Натяжные потолки; Входные двери; Межкомнатные двери; Офисная мебель; Корпусная мебель,"улица Ватутина, 23",1 этаж,630073,Башня ж/м,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-18:00; Вс: 08:00-18:00,+07:00,4.7,177,83832483457 (кол-центр: пн-пт 8:30-20:00),89628283457 (кол-центр: пн-пт 8:30-20:00),,,,http://domokon.su/?utm_source=2gis&utm_medium=domokon.maps&utm_campaign=nsk,http://jivo.chat/0N4lRqw9Sc,,,https://vk.com/domokon,,,,,,,https://t.me/+79069206845,,,,54.984499,82.894764,https://2gis.com/firm/70000001039669346,branch
Древда,семейная мастерская,Мебель на заказ; Мебель для ванных комнат; Детская мебель; Мебель для кухни; Мягкая мебель; Офисная мебель; Корпусная мебель,"улица Якушева, 254а",2 этаж,630009,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00; Вс: 08:00-18:00,+07:00,5.0,7,89618471706,,,,,,,,,https://vk.com/club216922902,https://wa.me/79618471706,,,,,,,,,,55.002071,82.964012,https://2gis.com/firm/70000001080244455,branch
ДугалакСибирь,оптово-розничная компания,Мебель на заказ; Товары для творчества; Промышленная химия; Изделия из стеклопластика; Изделия из камня для помещений; Мебель для кухни; Ремонт мебели; Мебель для ванных комнат,"Комбинатская улица, 3а",2 этаж,630015,,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+07:00,5.0,4,89137316225,89833106373,,,,,,,,https://vk.com/club188904688,https://wa.me/79833106373,,,,,,,,,,55.052762,82.974772,https://2gis.com/firm/70000001018151539,branch
Дуэт Мебель,производственная компания,Мебель на заказ; Корпусная мебель; Мебель для кухни; Офисная мебель; Детская мебель; Мебель для ванных комнат,"Социалистическая улица, 67",1 этаж,630024,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,5.0,3,89134589968,,,,,,,,,,https://wa.me/79134589968,,,,,,https://t.me/+79134589968,,,,54.974264,82.922311,https://2gis.com/firm/141265770785325,branch
