Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
100 диванов,салон мебели,Мебель на заказ; Мебельные магазины; Мягкая мебель; Детская мебель; Корпусная мебель; Мебель для кухни; Офисная мебель; Матрасы,"Ильича, 74",3 этаж; рядом с магазином Детский мир,620143,Уралмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,,,89002121006,,,hello@100divanov.online,info@100divanov.online,http://max.ru/stodivanov_ekb,,,,https://vk.com/stodivanov_ekb,https://wa.me/79002121006,,,,,,,,,,56.900072,60.612554,https://2gis.com/firm/70000001102233307,branch
100 диванов,салон мебели,Мебель на заказ; Мебельные магазины; Мягкая мебель,"Верх-Исетский бульвар, 13в",А корпус; 400 офис; 4 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,9,89530074689,,,hello@100divanov.online,info@100divanov.online,http://100диванов.com,,,,https://vk.com/stodivanov_ekb,,,,,,,,,,,56.837962,60.575031,https://2gis.com/firm/70000001061074738,branch
100 диванов,салон мебели,Мебель на заказ; Мебельные магазины; Мягкая мебель; Детская мебель; Корпусная мебель; Офисная мебель; Матрасы,"40-летия Комсомола, 38л",А корпус; 2 этаж,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.6,65,89002051004,,,hello@100divanov.online,info@100divanov.online,http://100диванов.com,,,,https://vk.com/stodivanov_ekb,,,,,,,,,,,56.823927,60.701445,https://2gis.com/firm/70000001021993915,branch
100 диванов,салон мебели,Мебель на заказ; Офисная мебель; Мягкая мебель; Матрасы,"проспект Ленина, 70",цокольный этаж,620062,Втузгородок м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 11:00-19:00,+05:00,4.6,24,83433741305,,,hello@100divanov.online,info@100divanov.online,http://100диванов.com,,,,https://vk.com/stodivanov_ekb,,,,,,,,,,,56.842635,60.644646,https://2gis.com/firm/1267166676665739,branch
100 диванов,салон мебели,Мебель на заказ; Мебельные магазины; Мягкая мебель; Детская мебель; Корпусная мебель; Мебель для кухни; Офисная мебель; Матрасы,"Зоологическая улица, 9",1-2 этаж,620149,Юго-Западный м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 11:00-19:00,+05:00,4.1,180,83432400700,89292022735,,hello@100divanov.online,info@100divanov.online,http://jivo.chat/gX3rhxHee8,,,,https://vk.com/stodivanov_ekb,,,,,,,,,,,56.813716,60.53502,https://2gis.com/firm/1267165676584337,branch
100 купе,торгово-производственная компания,Мебель на заказ; Корпусная мебель; Мебель для кухни,"Новостроя, 2/1",цокольный этаж,620024,Елизавет м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00; Вс: 10:00-17:00,+05:00,4.8,56,83432712636,,,,,http://100-kupe.ru,,,,,https://wa.me/79090130956,,,,,,,,,,56.768495,60.633841,https://2gis.com/firm/70000001028024005,branch
2 БС,компания по производству школьной мебели,Мебель на заказ; Мебель для учебных учреждений; Заборы и ограждения; Полимерная порошковая окраска; Садово-парковая мебель,"Республиканская улица, 65 ст1",,623284,,,Ревда,Ревда муниципальный округ,Свердловская область,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,,,89126341292,89220209234,,,,http://www.2-bs.ru,http://www.2bs-mebel.ru,,,,https://wa.me/79220209234,,,,,,,,,,56.82475,59.924842,https://2gis.com/firm/70000001007008357,branch
33 комода,магазин по продаже мебели,Мебель на заказ; Мебельные магазины; Сборка мебели; Корпусная мебель; Офисная мебель; Мебель для кухни; Мягкая мебель; Детская мебель,"улица Анучина, 3а",2 этаж,623701,,,Березовский,Березовский муниципальный округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.4,7,83436937366,,,,,http://33komoda.ru,,,,https://vk.com/33komod,,,,,,,,,,,56.908349,60.819295,https://2gis.com/firm/70000001039964510,branch
4Elements,студия интерьера мебели,Мебель на заказ; Детская мебель; Ремонт мебели; Мягкая мебель,"улица Щорса, 7 лит Л",2 этаж,620142,Автовокзал м-н,Октябрьский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00,+05:00,5.0,5,89501916285,89193724797,,,,http://interier-ekb.ru,,,,,,,,,,,,,,,56.808991,60.635113,https://2gis.com/firm/70000001034112532,branch
4Комнаты,мебельное ателье,Мебель на заказ; Мебель для кухни; Корпусная мебель; Офисная мебель; Детская мебель; Мебель для ванных комнат; Дизайн интерьеров,"улица Краснолесья, 12а",-1 этаж,620110,Краснолесье м-н,Академический район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00 (по предварительной записи: вс),+05:00,,,89086367053,,,,,http://mebel-dostavka-ekb.ru,,,,,,,,,,,,,,,56.779387,60.547725,https://2gis.com/firm/70000001094284202,branch
