Наименование,Город,Рубрики,Email,Мобильный,Телефон 1,Телефон 2,WhatsApp,Telegram,ВКонтакте,2GIS URL
Aqadi,Екатеринбург,Мебель на заказ; Корпусная мебель; Мебель для кухни,,79221712345,89221712345,,https://wa.me/79221712345,https://t.me/+79221712345,https://vk.com/aqadi_mebel,https://2gis.com/firm/70000001082425080
Architector мебели,Екатеринбург,Мебель на заказ; Мебель для кухни; Корпусная мебель,,79222943896,89222943896,,https://wa.me/79222943896,https://t.me/+79222943896,,https://2gis.com/firm/70000001063498815
Asmax,Екатеринбург,Мебель на заказ; Корпусная мебель; Ремонт мебели; Офисная мебель; Мебельная фурнитура,,79920099913,89920099913,89012109765,https://wa.me/79920099913,https://t.me/+79920099913,,https://2gis.com/firm/70000001063877132
Avenue Decor Home,Екатеринбург,Мебель на заказ; Напольные покрытия; Укладка напольных покрытий; Светотехника; Корпусная мебель; Мебель для ванных комнат,,79193119696,89193119696,,,,,https://2gis.com/firm/70000001103404592
Bannikov,Екатеринбург,"Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель; Мебель для учебных учреждений; Офисная мебель; Мебель для ванных комнат; Распиловка древесины; ЛДСП, ДВПО, МДФ; Мебельная фурнитура; Ремонт мебели; Мебельные фасады; ДСП, ДВП, фанера",,79630505339,89630505339,,https://wa.me/79630505339,,https://vk.com/bannikovmebel,https://2gis.com/firm/70000001045138102
Barnoba,Екатеринбург,Мебель на заказ; Корпусная мебель; Мебель для кухни,,79041662609,89041662609,,,,https://vk.com/barnoba_mebel,https://2gis.com/firm/70000001099141360
BestMebel,Екатеринбург,Мебель на заказ; Мебельные магазины; Корпусная мебель,,79021500537,89021500537,89220241075,,,,https://2gis.com/firm/70000001067296066
Blumenkranz,Екатеринбург,Мебель на заказ; Офисная мебель; Корпусная мебель; Мебель для кухни; Мебель для ванных комнат; Детская мебель; Мебельная фурнитура; Мебель для учебных учреждений; Мебельные магазины; Мебель для салонов красоты,,79655007775,89655007775,89326137775,https://wa.me/79655007775,https://t.me/+79655007775,https://vk.com/ekb_mebel_zakaz,https://2gis.com/firm/70000001100243826
Bosko,Екатеринбург,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мебель для ванных комнат; Детская мебель; Дизайн интерьеров,,79221877797,89221877797,89630416428,,https://t.me/+79630416428,https://vk.com/750145736,https://2gis.com/firm/70000001098754061
Camelgroup,Екатеринбург,Мебель на заказ; Мебельные магазины; Мягкая мебель; Корпусная мебель; Детская мебель,,79022709592,89022709592,,https://wa.me/79022709592,,,https://2gis.com/firm/70000001038608252
CasaMebel,Березовский,Мебель на заказ; Корпусная мебель; Мебель для кухни; Офисная мебель,,79001970448,89001970448,,https://wa.me/79001970448,https://t.me/+79001970448,https://vk.com/casameb,https://2gis.com/firm/70000001021921931
Brilliant,Асбест,Мебель на заказ; Корпусная мебель,,79536007122,89536007122,,,,https://vk.com/mebbrilliant,https://2gis.com/firm/70000001109923017
Commodo,Екатеринбург,Мебель на заказ; Корпусная мебель; Офисная мебель; Мебель для кухни,,79221880702,83433280702,89221880702,https://wa.me/79221880702,https://t.me/+79221880702,https://vk.com/commodo66,https://2gis.com/firm/70000001043495272
CoriArt,Екатеринбург,Мебель на заказ; Изделия из камня для помещений; Мебель для кухни; Корпусная мебель,,79667754777,89667754777,89222022044,,,https://vk.com/club229128099,https://2gis.com/firm/70000001115021845
Decoline,Екатеринбург,Мебель на заказ; Корпусная мебель; Мебель для кухни,,79041600606,89041600606,83432192006,,,https://vk.com/public_decoline,https://2gis.com/firm/70000001030299497
DokaMebel,Березовский,Мебель на заказ; Корпусная мебель; Мебель для кухни; Офисная мебель; Детская мебель,,79002161013,83432000381,89002161013,https://wa.me/79002161013,,https://vk.com/dokamk,https://2gis.com/firm/1267165677253459
Don Maison,Екатеринбург,Мебель на заказ; Домашний текстиль; Корпусная мебель; Мебель для кухни; Мебельные магазины; Мягкая мебель; Новогодние товары; Офисная мебель; Посуда; Светотехника; Сувениры,,79029751315,89029751315,,,,https://vk.com/donmaison_krsk,https://2gis.com/firm/70000001115847098
EsmCraft,Екатеринбург,Мебель на заказ; Металлоконструкции для строительства; Полимерная порошковая окраска; Металлоизделия; Металлообработка; Изготовление табличек,,79226001126,89226001126,,https://wa.me/79226001126,,,https://2gis.com/firm/70000001080897177
Estela,Екатеринбург,Мебель на заказ; Мебель для ванных комнат; Мебель для кухни; Мебель для общественного питания; Корпусная мебель; Изделия из камня для помещений; Оборудование для общепита,,79222933351,83433821684,89222933351,https://wa.me/79222933351,https://t.me/+79222933351,https://vk.com/club131446798,https://2gis.com/firm/70000001006745606
Family Home,Екатеринбург,Мебель на заказ; Мягкая мебель; Корпусная мебель; Мебель для кухни,,79024408224,89024408224,,https://wa.me/79024408224,,https://vk.com/club223459281,https://2gis.com/firm/70000001083298079
Firstsofa,Екатеринбург,Мебель на заказ; Ремонт мебели; Мягкая мебель,,79676392426,83433465426,89676392426,https://wa.me/79676392426,,https://vk.com/club66948731,https://2gis.com/firm/70000001028024026
Handcrafted,Екатеринбург,Мебель на заказ; Сувениры,,79920080425,89920080425,,,,https://vk.com/mau3er,https://2gis.com/firm/70000001099143757
Hardwood Workshop,Березовский,Мебель на заказ; Офисная мебель; Корпусная мебель,,79961899646,83432060070,89961899646,https://wa.me/79961899646,,,https://2gis.com/firm/70000001032468795
Home Center design,Екатеринбург,Мебель на заказ; Архитектурное проектирование; Ландшафтный дизайн; Дизайн интерьеров,,79000416763,89000416763,,https://wa.me/79000416763,,,https://2gis.com/firm/70000001036819684
K & A,Екатеринбург,Мебель на заказ; Мебель для кухни; Корпусная мебель,,79049854949,89049854949,,https://wa.me/79049854949,https://t.me/+79049854949,,https://2gis.com/firm/70000001059870441
Komandor,Верхняя Пышма,Мебель на заказ; Мебельные магазины; Корпусная мебель; Офисная мебель; Детская мебель,,79126692211,89126692211,89126563235,,,https://vk.com/komandorekaterinburg,https://2gis.com/firm/1267166676175544
Komandor,Екатеринбург,Мебель на заказ; Мебельные магазины; Корпусная мебель; Офисная мебель; Детская мебель; Мебель для ванных комнат,,79826001537,89826001537,89521490855,,,,https://2gis.com/firm/70000001006549778
Letto Perfetto,Екатеринбург,Мебель на заказ; Мягкая мебель,,79120331993,89120331993,,https://wa.me/79120331993,https://t.me/+79120331993,https://vk.com/lettoperfetto96,https://2gis.com/firm/70000001098246500
LoftDag,,Мебель на заказ; Металлическая мебель,,79122016659,89122016659,,https://wa.me/79122016659,,https://vk.com/loftdag,https://2gis.com/firm/70000001109529251
Lori mebel,Екатеринбург,Мебель на заказ; Мягкая мебель; Мебель для общественного питания; Деревообработка; Ремонт мебели; Офисная мебель; Корпусная мебель; Детская мебель,,79028748925,89028748925,89222127575,https://wa.me/79222127575,https://t.me/+79222127575,,https://2gis.com/firm/70000001030384757
Malitta,Екатеринбург,Мебель на заказ; Мебельные магазины; Бескаркасная мебель; Мягкая мебель,,79234890200,89234890200,,https://wa.me/79234890200,https://t.me/malitta_mebel,https://vk.com/mebel_malitta,https://2gis.com/firm/70000001075777831
