Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
100 диванов,салон мебели,Мебель на заказ; Мебельные магазины; Мягкая мебель; Детская мебель; Корпусная мебель; Мебель для кухни; Офисная мебель; Матрасы,"Ильича, 74",3 этаж; рядом с магазином Детский мир,620143,Уралмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,,,89002121006,,,hello@100divanov.online,info@100divanov.online,http://max.ru/stodivanov_ekb,,,,https://vk.com/stodivanov_ekb,https://wa.me/79002121006,,,,,,,,,,56.900072,60.612554,https://2gis.com/firm/70000001102233307,branch
100 купе,торгово-производственная компания,Мебель на заказ; Корпусная мебель; Мебель для кухни,"Новостроя, 2/1",цокольный этаж,620024,Елизавет м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00; Вс: 10:00-17:00,+05:00,4.8,56,83432712636,,,,,http://100-kupe.ru,,,,,https://wa.me/79090130956,,,,,,,,,,56.768495,60.633841,https://2gis.com/firm/70000001028024005,branch
33 комода,магазин по продаже мебели,Мебель на заказ; Мебельные магазины; Сборка мебели; Корпусная мебель; Офисная мебель; Мебель для кухни; Мягкая мебель; Детская мебель,"улица Анучина, 3а",2 этаж,623701,,,Березовский,Березовский муниципальный округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.4,7,83436937366,,,,,http://33komoda.ru,,,,https://vk.com/33komod,,,,,,,,,,,56.908349,60.819295,https://2gis.com/firm/70000001039964510,branch
4Комнаты,мебельное ателье,Мебель на заказ; Мебель для кухни; Корпусная мебель; Офисная мебель; Детская мебель; Мебель для ванных комнат; Дизайн интерьеров,"улица Краснолесья, 12а",-1 этаж,620110,Краснолесье м-н,Академический район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00 (по предварительной записи: вс),+05:00,,,89086367053,,,,,http://mebel-dostavka-ekb.ru,,,,,,,,,,,,,,,56.779387,60.547725,https://2gis.com/firm/70000001094284202,branch
50-50,мебельный салон,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель; Мягкая мебель; Матрасы; Мебель для ванных комнат,"Сибирский тракт, 8н",9 бутик; 1 этаж,620100,Шарташский рынок м-н,Октябрьский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-18:00,+05:00,4.4,7,83432070530,89022530530,,,,http://мебель50-50.рф,,,,,https://wa.me/79022530530,,,,,,,,,,56.823682,60.649812,https://2gis.com/firm/1267165676444316,branch
66мебель.ру,,Мебель на заказ; Офисная мебель; Корпусная мебель; Мебель для кухни,"Монтёрская улица, 3а",216 офис; 2 этаж,620085,Вторчермет м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,2,89002110011,,,,,http://www.66mebel.ru,,,,https://vk.com/66mebel,https://wa.me/79002110011,,,,,,https://t.me/+79002110011,https://t.me/79002110011,,,56.782005,60.616939,https://2gis.com/firm/70000001065140312,branch
96 Кухонь,,Мебель на заказ; Мебель для кухни,"улица Владимира Высоцкого, 50",2 зал; 2 этаж,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 11:00-19:00,+05:00,4.4,20,89222265923,,,,,http://96kuhon.ru/,,,,https://vk.com/96kuhon,https://wa.me/79222265923,,,,,,,,,,56.842654,60.698579,https://2gis.com/firm/70000001050148750,branch
Aero,шоурум мебели,Мебель на заказ; Мебельные магазины; Мебель для кухни; Мебель для общественного питания; Мебель из стекла; Мебель для салонов красоты,"Верх-Исетский бульвар, 13",А корпус; 0 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,13,83433646486 (доп.303),,,,,http://mebelaero.ru,,,,https://vk.com/aero_mebel72,,,,,,,,,,,56.838277,60.573905,https://2gis.com/firm/70000001040959345,branch
Aero,шоурум мебели,Мебель на заказ; Мебельные магазины; Мебель для кухни; Мебель для общественного питания; Мебель из стекла,"40-летия Комсомола, 38н",Б корпус; 1 этаж,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.0,20,83433646486 (доп.302),,,,,http://mebelaero.ru,,,,https://vk.com/aero_mebel72,,,,,,,,,,,56.824182,60.705189,https://2gis.com/firm/70000001028696559,branch
Alfamart24.ru,магазин дверей и мебели,Мебель на заказ; Мебельные магазины; Входные двери; Мягкая мебель; Межкомнатные двери; Корпусная мебель; Мебель для кухни; Перегородки; Детская мебель,"Первомайская улица, 11в",2 этаж,620000,Центр м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.5,410,83433517583 (единый номер),,,,,http://ekaterinburg.alfamart24.ru,http://jivo.chat/ff3okjWqpj,,,https://vk.com/alfamart24,,,,,,,https://t.me/+79222981784,,,,56.842459,60.613117,https://2gis.com/firm/70000001006705615,branch
ATTA mebel,мебельный салон,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мебель для кухни; Детская мебель; Мебель для ванных комнат; Офисная мебель,"Верх-Исетский бульвар, 13в",В корпус; 309 офис; 3 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительному звонку),+05:00,5.0,2,89222070570,,,,,http://atta.su,,,,,,,,,,,,,,,56.837737,60.573921,https://2gis.com/firm/1267165676602710,branch
ATTA mebel,офис,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мебель для кухни; Детская мебель; Мебель для ванных комнат; Офисная мебель,"Верх-Исетский бульвар, 13в",В корпус; 101г офис; 1 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительному звонку),+05:00,,,83433804205 (единый номер - пн-вс 10:00-20:00),,,,,http://atta.su,,,,,,,,,,,,,,,56.837736,60.573831,https://2gis.com/firm/70000001111581040,branch
Aurora Home,салон столов и стульев,Мебель на заказ; Мебельные магазины; Мебель для кухни,"улица Металлургов, 84",3 этаж,620131,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,3,89827273457,,,,,http://mebel-aurora.ru,,,,https://vk.com/aurorahome_ekb,https://wa.me/79827273457,,,,,,,,,,56.827699,60.509083,https://2gis.com/firm/70000001092857679,branch
Azarova home. Furniture atelier,,Мебель на заказ; Мягкая мебель; Мебель для кухни,"улица Радищева, 18",1 этаж,620014,Центр м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи),+05:00,,,89022659785,,,,,http://azarovahome.com,,,,,https://wa.me/79022659785,,,,,,,,,,56.831113,60.59515,https://2gis.com/firm/70000001033514558,branch
Bashu design,мебельный салон,Мебель на заказ; Мягкая мебель; Мебель для кухни; Офисная мебель,"Цвиллинга, 1",4 этаж; галерея Б,620142,Автовокзал м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00,+05:00,,,88005503066,,,,,http://bashu.design,,,,https://vk.com/bashu_design,https://wa.me/79126204560,,,,,,https://t.me/bashu_design_bot,,,,56.816733,60.625992,https://2gis.com/firm/70000001103338669,branch
Borrini,,Мебель на заказ; Корпусная мебель; Мебель для кухни,"улица Радищева, 41",48 офис; 3 этаж,620014,Центр м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 11:00-17:00 (по предварительной записи),+05:00,4.9,9,89002007300,,,,,http://borrini.art,http://t.me/borriniart,,,https://vk.com/borriniart,,,,,,,,,,,56.829181,60.587381,https://2gis.com/firm/70000001086916439,branch
Bosko,фабрика мебели,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мебель для ванных комнат; Детская мебель; Дизайн интерьеров,"Верх-Исетский бульвар, 13в",А корпус; 3 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,,,89221877797,89630416428,,,,http://max.ru/MAX,,,,,,,,,,,https://t.me/+79221877797,,,,56.838358,60.573718,https://2gis.com/firm/70000001111208118,branch
Cascate Porte,мебельный салон,Мебель на заказ; Мебельные магазины; Мебельные фабрики; Мебельные фасады; Дизайн интерьеров; Мебель для кухни; Мебель из стекла; Мягкая мебель; Офисная мебель; Стеллажи и витрины; Стеновые панели; Бескаркасная мебель; Детская мебель; Стекло и зеркала; Сборка мебели; Корпусная мебель; Межкомнатные двери; Перегородки,"Студенческая улица, 11",333-334 помещение; 3 этаж,620137,Втузгородок м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,5.0,4,83432691961,,,,,http://cascate-ural.ru,,,,,,,,,,,,,,,56.850514,60.66201,https://2gis.com/firm/70000001100636617,branch
