Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Cascate Porte,мебельный салон,Мебель на заказ; Мебельные магазины; Мебельные фабрики; Мебельные фасады; Дизайн интерьеров; Мебель для кухни; Мебель из стекла; Мягкая мебель; Офисная мебель; Стеллажи и витрины; Стеновые панели; Бескаркасная мебель; Детская мебель; Стекло и зеркала; Сборка мебели; Корпусная мебель; Межкомнатные двери; Перегородки,"Студенческая улица, 11",333-334 помещение; 3 этаж,620137,Втузгородок м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,5.0,4,83432691961,,,,,http://cascate-ural.ru,,,,,,,,,,,,,,,56.850514,60.66201,https://2gis.com/firm/70000001100636617,branch
Mainhouse-store,интернет-магазин,Мебель на заказ; Бытовая техника; Мебель для кухни; Напольные покрытия; Мебельные фасады; Дизайн интерьеров; Жалюзи,"Первомайская улица, 109",113 офис; 1 этаж,620049,Втузгородок м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:30-19:00; Вт: 10:30-19:00; Ср: 10:30-19:00; Чт: 10:30-19:00; Пт: 10:30-19:00; Сб: 11:30-18:00; Вс: 11:30-18:00 (по предварительной записи),+05:00,5.0,1,83433287776,,,,,http://mainhouse-store.ru,,,,,,,,,,,,,,,56.848121,60.664881,https://2gis.com/firm/70000001043193993,branch
mia Moretti,мебельная студия,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель; Мебельные фасады,"40-летия Комсомола, 38н",Б корпус; 1 этаж,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.6,64,83433611119 (многоканальный: пн-вс 10:00-20:00),,,,,http://miamoretti.ru,,,,https://vk.com/club45625770,,,,,,,,,,https://youtube.com/channel/UCK_q-R_cf2-_XRLf5_sJMcg,56.823988,60.705456,https://2gis.com/firm/70000001006348497,branch
Roomatic,,"Мебель на заказ; Стекло и зеркала; Офисная мебель; Стеновые панели; Мебель для ванных комнат; ДСП, ДВП, фанера; Детская мебель; Мебель для кухни; Мебельные фасады; Распиловка древесины; Корпусная мебель; ЛДСП, ДВПО, МДФ; Мебельная фурнитура; Облицовочные материалы для мебели","Новинская улица, 2Б/1",,620024,Елизавет м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-15:00,+05:00,,,83432394141,,,,,http://roomatic.ru,,,,https://vk.com/roomatic,,,,,,,https://t.me/roomaticbot,,,,56.766736,60.621468,https://2gis.com/firm/70000001102803228,branch
Roomatic,офис,"Мебель на заказ; Стекло и зеркала; Офисная мебель; Стеновые панели; Мебель для ванных комнат; Детская мебель; Мебельные фасады; Распиловка древесины; Корпусная мебель; Мебель для кухни; ЛДСП, ДВПО, МДФ; Мебельная фурнитура; Облицовочные материалы для мебели","улица 8 Марта, 146",1 этаж,620144,Автовокзал м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-15:00,+05:00,4.6,216,83432394141,,,,,http://roomatic.ru,,,,https://vk.com/roomatic,,,,,,,https://t.me/roomaticbot,,,,56.809618,60.608883,https://2gis.com/firm/70000001030665185,branch
Uman,,Мебель на заказ; Корпусная мебель; Мебель для кухни; Мебельные фасады,,,,,,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,5.0,3,89379416237,88001011408,,,,http://umanmebel.ru,,,,https://vk.com/umanmebel,https://wa.me/79379416237,,,viber://chat/?number=79379416237,,,https://t.me/+79379416237,,,,,,https://2gis.com/firm/70000001092764457,branch
Woodkivi,компания индивидуального производства мебели,Мебель на заказ; Мебель для ванных комнат; Мебельные фасады; Мебель для кухни; Корпусная мебель,"улица Гагарина, 6/3",2 этаж,620062,Втузгородок м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.7,25,89956621256,,,,,http://woodkivi.com,,,,https://vk.com/woodkivi,https://wa.me/79956621256,,,,,,,,,https://youtube.com/c/Woodkivi,56.846645,60.641616,https://2gis.com/firm/70000001024377385,branch
Woodstone,компания по изготовлению шпонированных стеновых панелей,Мебель на заказ; Стеновые панели; Мебельные фасады; Оборудование для общепита; Мебель для кухни; Декоративные отделочные материалы; Офисная мебель; Торгово-выставочное оборудование; Комплектующие для окон; Облицовочные материалы для мебели,"Гаражная улица, 6Б/3",,620016,Совхозный пос.,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительной записи),+05:00,5.0,5,89068551000,,,,,http://woodstone.su,,,,https://vk.com/id380753895,https://wa.me/79068551000,,,viber://chat/?number=79068551000,,,https://t.me/+79068551000,,,,56.756946,60.535724,https://2gis.com/firm/70000001052967974,branch
Баркилье,компания,Мебель на заказ; Гравировка; Лазерная резка неметаллов; Мебельные фасады; Погонажные изделия,"улица Народного Фронта, 95",,620098,Уралмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,,+05:00,,,89222016481,,,,,http://баркилье.рф,,,,https://vk.com/barkilie,https://wa.me/79222016481,,,viber://chat/?number=79222016481,,,https://t.me/+79222016481,,,https://youtube.com/%D0%91%D0%B0%D1%80%D0%BA%D0%B8%D0%BB%D1%8C%D0%B5.%D1%80%D1%84,56.914069,60.594401,https://2gis.com/firm/70000001094215966,branch
Баркилье,компания,Мебель на заказ; Гравировка; Погонажные изделия; Мебельные фасады; Фрезеровка неметаллов; Декоративные отделочные материалы; Объёмные надписи и фигуры; Художественные мастерские; Лазерная резка неметаллов; Изготовление рекламных конструкций; Изготовление табличек; Детская мебель; Печать на сувенирах; Ремонт мебели; Световая реклама,"Восстания, 32в",,620135,Уралмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи),+05:00,5.0,1,89222016481,,,,,http://баркилье.рф,,,,https://vk.com/barkilie,https://wa.me/79222016481,,,viber://chat/?number=79222016481,,,https://t.me/+79222016481,,,,56.900857,60.608631,https://2gis.com/firm/70000001030828324,branch
